"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4283","should register a new user successfully with CAPTCHA detection","firefox","Wed May 07 03:20:30 PKT 2025","skipped","Wed May 07 03:20:34 PKT 2025","Qrfy Registration Tests","register.spec.ts","",""
"","6604","should show error on already used email","firefox","Wed May 07 03:20:30 PKT 2025","skipped","Wed May 07 03:20:36 PKT 2025","Qrfy Registration Tests","register.spec.ts","",""
